,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
1485,37.6,21.9,85.2,73.8,0.756959,0.65293,0.5266666666666667,1047.0
1503,28.2,16.0,72.8,65.8,0.756959,0.65293,0.43333333333333335,1065.0
1507,26.6,16.3,70.1,62.4,0.756959,0.65293,0.5666666666666667,1199.0
1509,34.7,21.5,84.0,73.9,0.756959,0.65293,0.43666666666666665,974.0
1514,11.6,15.8,55.5,47.8,0.756959,0.65293,0.5366666666666667,1294.0
1526,10.2,12.4,24.2,12.8,0.688829,0.66693,0.4766666666666667,1485.0
1533,15.1,12.3,32.5,22.0,0.6442775,0.76466,0.55,1532.0
1536,2.2,11.2,22.8,13.6,,,0.47,1710.0
1545,0.5,10.8,15.3,7.0,0.6017170000000001,0.7221,0.5633333333333332,1546.0
1550,6.9,12.3,23.5,13.1,0.7106695,0.75877,0.5133333333333333,1570.0
1554,1.5,10.0,28.0,21.6,0.632505,0.62775,0.47333333333333333,1555.0
1559,0.9,5.9,17.1,12.9,0.663957,0.73069,0.45666666666666667,1638.0
1560,0.4,18.7,36.6,23.3,0.663957,0.73069,0.3333333333333333,1463.0
1573,9.9,14.6,44.5,37.1,0.5704935,0.73662,0.66,1472.0
1580,1.4,14.4,22.9,12.3,0.67586,0.73944,0.67,1496.0
1584,0.5,29.5,42.8,20.8,0.8902754999999999,0.79134,0.56,1443.0
1588,3.4,12.7,24.4,14.2,0.7204875,0.75098,0.4666666666666667,1591.0
1592,2.6,8.9,17.6,9.1,0.6439435,0.71705,0.52,1479.0
1597,0.0,17.5,38.4,25.8,1.0702605,0.68731,0.5066666666666666,1383.0
1601,3.5,14.9,27.0,17.2,0.6366255000000001,0.70226,0.5633333333333332,1532.0
1616,3.2,12.5,19.2,8.6,0.544825,0.68835,0.5866666666666667,1616.0
1621,3.1,14.1,23.5,12.7,0.6426415,0.68907,0.48666666666666664,1582.0
1632,6.6,12.9,19.2,8.3,0.667358,0.74124,0.6366666666666667,1589.0
1641,45.0,16.8,48.4,26.0,0.9483719999999999,0.75383,0.5700000000000001,1444.0
1644,2.3,16.6,48.2,40.6,0.673375,0.61266,0.6266666666666667,1417.0
1650,1.2,23.0,53.7,42.9,0.715283,0.68502,0.4,1414.0
1654,36.3,21.1,43.4,23.6,0.9257715,0.76887,0.45666666666666667,1524.0
1659,8.6,20.5,24.2,3.6,0.8446370000000001,0.899,0.4966666666666667,1807.0
1661,11.5,15.8,50.6,40.9,0.676896,0.71242,0.5233333333333333,1454.0
1672,7.2,15.5,21.2,6.5,0.8457895000000001,0.90041,0.5399999999999999,1813.0
1675,2.5,12.7,26.5,17.0,0.6980455,0.70796,0.48000000000000004,1552.0
1679,0.8,7.9,20.8,14.1,0.5558535,0.6622,0.5766666666666667,1510.0
1688,28.8,18.9,48.8,38.5,0.6220225,0.6734,0.51,1474.0
1695,18.3,10.7,20.0,7.6,0.6784275,0.78661,0.48000000000000004,1768.0
1706,5.4,15.1,35.0,26.6,0.6733195,0.67184,0.5766666666666667,1556.0
1707,7.6,28.3,53.7,34.4,0.6733195,0.67184,0.4666666666666667,1309.0
1717,10.1,9.8,13.3,3.6,0.6217604999999999,0.76165,0.6566666666666666,1786.0
1721,13.2,17.0,25.1,5.8,1.09131,0.93953,0.43,1834.0
1732,3.4,18.1,21.2,4.1,0.7674945,0.86074,0.5266666666666667,1683.0
1745,8.0,15.4,35.5,24.7,0.638916,0.79935,0.5533333333333333,1504.0
1753,1.4,13.1,26.0,17.5,0.557653,0.77887,0.6966666666666667,1516.0
