,% First Language Not English,% Students With Disabilities,% High Needs,% Economically Disadvantaged,Average In-District Expenditures per Pupil,Average Salary,Average Class Size,SAT
191,84.5,11.3,86.3,64.4,19224.89,88790.0,17.5,1132.0
201,32.5,16.3,60.9,53.1,19224.89,88790.0,16.5,1229.0
203,53.0,3.5,52.0,44.7,19224.89,88790.0,22.3,1491.0
210,68.2,17.0,76.7,63.6,19224.89,88790.0,24.7,1277.0
217,52.6,20.5,75.6,62.6,19224.89,88790.0,17.7,1140.0
218,45.4,22.1,81.7,66.6,19224.89,88790.0,17.3,1137.0
219,54.2,19.7,82.6,65.3,19224.89,88790.0,15.1,1028.0
222,37.3,26.2,69.2,55.1,19224.89,88790.0,15.3,1168.0
225,51.2,21.4,79.2,59.5,19224.89,88790.0,18.0,1086.0
233,1.1,16.7,32.6,24.8,14607.04,74419.0,16.4,1497.0
241,11.3,21.1,34.5,17.9,12952.05,73535.0,16.1,1569.0
256,46.3,11.9,62.1,46.8,13881.31,79723.0,20.4,1321.0
280,28.5,16.2,28.0,11.7,17165.46,91507.0,14.3,1806.0
290,16.6,10.7,19.9,8.3,17650.81,90475.0,15.4,1578.0
297,25.8,16.6,40.5,27.4,26183.5,78456.0,15.5,1561.0
313,5.2,7.7,17.8,11.6,13208.2,77664.0,17.1,1564.0
321,0.5,20.1,31.5,17.9,13588.37,66921.0,15.5,1527.0
325,8.4,12.6,20.4,8.6,12204.91,73471.0,16.8,1620.0
330,87.2,9.3,71.9,46.7,12734.46,64772.0,23.0,1321.0
345,12.7,15.9,50.1,42.4,13709.87,65358.0,15.9,1396.0
346,16.8,20.1,56.4,47.4,13709.87,65358.0,13.7,1412.0
357,27.3,19.5,45.7,33.3,11794.92,66247.0,12.6,1480.0
358,0.4,12.3,16.2,4.3,14149.82,82963.0,17.8,1686.0
366,3.0,13.9,26.0,14.2,13599.49,78183.0,16.7,1544.0
374,4.7,10.0,23.9,15.8,11893.45,73412.0,16.8,1554.0
380,13.0,15.2,32.1,18.0,16419.42,76417.0,15.8,1487.0
388,0.3,17.8,26.4,12.7,10954.26,66853.0,13.7,1551.0
393,5.6,10.0,22.3,13.9,10714.63,70080.0,18.5,1498.0
400,0.8,11.7,16.0,5.5,12788.45,74411.0,19.8,1654.0
403,0.7,14.7,25.7,14.1,9451.51,72188.0,19.9,1512.0
406,5.3,14.9,26.8,13.7,12746.97,73819.0,17.0,1575.0
412,7.2,15.5,37.6,27.6,12172.03,70494.0,17.9,1479.0
419,3.8,15.2,23.6,10.5,11924.26,73226.0,19.6,1626.0
426,58.5,11.7,58.8,39.8,12505.76,76272.0,17.1,1293.0
434,2.3,12.0,30.5,21.6,11215.04,65648.0,15.1,1527.0
437,27.9,18.4,63.9,55.2,13702.5,66693.0,16.5,1443.0
456,7.9,13.6,32.7,24.3,15032.54,74830.0,14.4,1574.0
464,34.9,21.7,63.7,54.0,13106.25,70158.0,20.3,1182.0
472,1.2,17.9,26.8,13.6,14707.2,80964.0,13.6,1568.0
476,60.9,10.3,51.2,37.2,,,18.7,1439.0
478,14.4,11.6,16.3,4.9,12866.04,80750.0,19.9,1866.0
488,0.8,22.3,48.2,39.2,13244.06,67378.0,14.1,1461.0
490,17.9,4.8,11.7,6.1,,,19.3,1868.0
